title,rating,year,actors,languages,duration,url
Animal Crackers,7.5,1930,"['Groucho Marx', ' Harpo Marx', ' Chico Marx', ' The Marx Brothers']",['English'],97,https://www.imdb.com/title/tt0020640/
Hell's Angels,7.3,1930,"['Ben Lyon', ' James Hall', ' Jean Harlow', ' John Darrow']","['English', 'German', 'French']",127,https://www.imdb.com/title/tt0020960/
Zemlya,7.3,1930,"['Stepan Shkurat', ' Semyon Svashenko', ' Yuliya Solntseva', ' Yelena Maksimova']","['None', 'Russian']",75,https://www.imdb.com/title/tt0021571/
L'âge d'or,7.3,1930,"['Gaston Modot', ' Lya Lys', ' Caridad de Laberdesque', ' Max Ernst']",['French'],60,https://www.imdb.com/title/tt0021577/
All Quiet on the Western Front,8.1,1930,"['Lew Ayres', ' Louis Wolheim', ' John Wray', ' Arnold Lucy']","['English', 'French', 'German', 'Latin']",152,https://www.imdb.com/title/tt0020629/
City Lights,8.5,1931,"['Charles Chaplin', ' Virginia Cherrill', ' Florence Lee', ' Harry Myers']","['None', 'English']",87,https://www.imdb.com/title/tt0021749/
The Public Enemy,7.6,1931,"['James Cagney', ' Jean Harlow', ' Edward Woods', ' Joan Blondell']",['English'],83,https://www.imdb.com/title/tt0022286/
Dr. Jekyll and Mr. Hyde,7.6,1931,"['Fredric March', ' Miriam Hopkins', ' Rose Hobart', ' Holmes Herbert']",['English'],98,https://www.imdb.com/title/tt0022835/
Dracula de vampier,7.5,1931,"['Bela Lugosi', ' Helen Chandler', ' David Manners', ' Dwight Frye']","['English', 'Hungarian', 'Latin']",75,https://www.imdb.com/title/tt0021814/
Monkey Business,7.5,1931,"['Groucho Marx', ' Harpo Marx', ' The Marx Brothers', ' Chico Marx']",['English'],77,https://www.imdb.com/title/tt0022158/
Scarface,7.8,1932,"['Paul Muni', ' Ann Dvorak', ' Karen Morley', ' Osgood Perkins']",['English'],93,https://www.imdb.com/title/tt0023427/
Trouble in Paradise (De firma Adam & Eva),8.0,1932,"['Miriam Hopkins', ' Kay Francis', ' Herbert Marshall', ' Charles Ruggles']","['English', 'Italian', 'French', 'Russian', 'Spanish', 'German']",83,https://www.imdb.com/title/tt0023622/
Otona no miru ehon - Umarete wa mita keredo,8.0,1932,"['Tatsuo Saitô', ' Tomio Aoki', ' Mitsuko Yoshikawa', ' Hideo Sugawara']","['None', 'Japanese']",100,https://www.imdb.com/title/tt0023634/
Ik ben een vluchteling,8.2,1932,"['Paul Muni', ' Glenda Farrell', ' Helen Vinson', ' Noel Francis']",['English'],92,https://www.imdb.com/title/tt0023042/
Island of Lost Souls,7.4,1932,"['Charles Laughton', ' Bela Lugosi', ' Richard Arlen', ' Leila Hyams']","['English', 'Cantonese']",70,https://www.imdb.com/title/tt0024188/
De onzichtbare man,7.7,1933,"['Claude Rains', ' Gloria Stuart', ' William Harrigan', ' Henry Travers']",['English'],71,https://www.imdb.com/title/tt0024184/
Das Testament des Dr. Mabuse,8.0,1933,"['Rudolf KleinRogge', ' Otto Wernicke', ' Thomy Bourdelle', ' Gustav Diessl']","['German', 'French']",122,https://www.imdb.com/title/tt0023563/
